cycle_id,label,image,h,disk,pl,workload,c,rr,runtime_s,rps,ttft_mean,tpot_mean,latency_mean,gpu_block,ext_block,gpu_tok,ext_tok,compute_tok,overall_tok,g2c_GB,c2g_GB,bench_log_path,status
ph4-t2-baseline-pl100-c8,baseline+pl100 c=8,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,8,0.5,894,2.67,175,16.7,994,89.83,4.35,89.8,0.4,9.7,90.3,1074,48,/results/ph4-t2-baseline-pl100-c8/bench.log,OK_PHASE4
ph4-t2-treatment-default-c8,treatment-default c=8,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,8,0.5,885,2.67,167,16.8,989,86.61,33.85,86.6,4.5,8.9,91.1,972,484,/results/ph4-t2-treatment-default-c8/bench.log,OK_PHASE4
ph4-t2-baseline-pl100-c16,baseline+pl100 c=16,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,16,0.5,425,5.37,189,17.0,1021,88.00,10.56,88.0,1.3,10.7,89.3,1134,131,/results/ph4-t2-baseline-pl100-c16/bench.log,OK_PHASE4
ph4-t2-treatment-default-c16,treatment-default c=16,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,16,0.5,448,5.13,303,17.4,1157,74.76,18.13,74.8,4.6,20.7,79.3,2170,475,/results/ph4-t2-treatment-default-c16/bench.log,OK_PHASE4
ph4-t2-baseline-pl100-c32,baseline+pl100 c=32,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,32,0.5,224,9.74,317,19.4,1269,75.00,25.14,75.0,6.3,18.7,81.3,1867,619,/results/ph4-t2-baseline-pl100-c32/bench.log,OK_PHASE4
ph4-t2-treatment-default-c32,treatment-default c=32,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,32,0.5,239,8.98,494,21.3,1537,42.63,47.35,42.6,27.2,30.2,69.8,2951,2632,/results/ph4-t2-treatment-default-c32/bench.log,OK_PHASE4
ph4-t2-baseline-pl100-c64,baseline+pl100 c=64,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,64,0.5,164,11.18,1040,56.8,3826,4.66,45.16,8.2,41.5,50.4,49.6,4210,3450,/results/ph4-t2-baseline-pl100-c64/bench.log,OK_PHASE4
ph4-t2-treatment-default-c64,treatment-default c=64,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,64,0.5,136,13.32,908,39.6,2851,11.59,56.63,15.0,48.2,36.9,63.1,3057,3965,/results/ph4-t2-treatment-default-c64/bench.log,OK_PHASE4
ph4-t2-baseline-pl100-c96,baseline+pl100 c=96,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,96,0.5,175,9.99,3857,77.3,7637,0.00,37.96,0.0,38.0,62.0,38.0,4936,3007,/results/ph4-t2-baseline-pl100-c96/bench.log,OK_PHASE4
ph4-t2-treatment-default-c96,treatment-default c=96,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,96,0.5,123,13.54,2253,57.7,5078,0.00,60.38,0.0,60.4,39.6,60.4,3026,4587,/results/ph4-t2-treatment-default-c96/bench.log,OK_PHASE4
ph4-t2-baseline-pl100-c128,baseline+pl100 c=128,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,128,0.5,161,9.66,7200,80.2,11134,0.00,34.07,0.0,34.1,65.9,34.1,4622,2379,/results/ph4-t2-baseline-pl100-c128/bench.log,OK_PHASE4
ph4-t2-treatment-default-c128,treatment-default c=128,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,128,0.5,135,12.29,5247,65.2,8440,0.03,53.52,0.2,53.4,46.4,53.6,3474,3978,/results/ph4-t2-treatment-default-c128/bench.log,OK_PHASE4
ph4-t4-baseline-pl100-prefix5000,baseline+pl100 prefix=5000,acc47dd9ee34,,,100,cfg_prefix_5000.json,64,0.5,149,21.51,127,18.3,1021,86.01,12.06,86.0,1.7,12.3,87.7,724,94,/results/ph4-t4-baseline-pl100-prefix5000/bench.log,OK_PHASE4
ph4-t4-treatment-default-prefix5000,treatment-default prefix=5000,8d2360fb4879,0.75,0.25,1,cfg_prefix_5000.json,64,0.5,163,20.16,198,20.6,1208,47.96,45.76,48.0,23.8,28.2,71.8,1647,1358,/results/ph4-t4-treatment-default-prefix5000/bench.log,OK_PHASE4
ph4-t4-baseline-pl100-prefix25000,baseline+pl100 prefix=25000,acc47dd9ee34,,,100,cfg_prefix_25000.json,64,0.5,241,5.12,6713,74.3,10334,0.00,32.67,0.0,32.7,67.3,32.7,6155,2979,/results/ph4-t4-baseline-pl100-prefix25000/bench.log,OK_PHASE4
ph4-t4-treatment-default-prefix25000,treatment-default prefix=25000,8d2360fb4879,0.75,0.25,1,cfg_prefix_25000.json,64,0.5,163,7.38,3647,62.7,6707,0.05,56.28,0.1,56.3,43.6,56.4,3902,5006,/results/ph4-t4-treatment-default-prefix25000/bench.log,OK_PHASE4
ph4-t4-baseline-pl100-prefix30000,baseline+pl100 prefix=30000,acc47dd9ee34,,,100,cfg_prefix_30000.json,64,0.5,201,4.37,8904,70.9,12374,0.00,36.26,0.0,36.3,63.7,36.3,4873,2767,/results/ph4-t4-baseline-pl100-prefix30000/bench.log,OK_PHASE4
ph4-t4-treatment-default-prefix30000,treatment-default prefix=30000,8d2360fb4879,0.75,0.25,1,cfg_prefix_30000.json,64,0.5,155,5.56,6649,58.7,9516,0.00,53.67,0.0,53.7,46.3,53.7,3491,4032,/results/ph4-t4-treatment-default-prefix30000/bench.log,OK_PHASE4
ph4-t6-baseline-pl100-rr0.1,baseline+pl100 rr=0.1,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,64,0.1,306,5.71,692,22.8,1809,20.23,39.97,27.0,29.2,43.8,56.2,3501,2318,/results/ph4-t6-baseline-pl100-rr0.1/bench.log,OK_PHASE4
ph4-t6-treatment-default-rr0.1,treatment-default rr=0.1,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,64,0.1,296,5.86,596,19.8,1565,19.56,53.45,25.2,40.0,34.8,65.2,2767,3154,/results/ph4-t6-treatment-default-rr0.1/bench.log,OK_PHASE4
ph4-t6-baseline-pl100-rr0.25,baseline+pl100 rr=0.25,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,64,0.25,193,9.61,879,40.7,2877,10.24,41.06,15.4,34.8,49.9,50.1,4206,2916,/results/ph4-t6-baseline-pl100-rr0.25/bench.log,OK_PHASE4
ph4-t6-treatment-default-rr0.25,treatment-default rr=0.25,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,64,0.25,159,10.68,737,30.1,2209,15.14,53.41,18.9,43.3,37.8,62.2,2950,3360,/results/ph4-t6-treatment-default-rr0.25/bench.log,OK_PHASE4
ph4-t6-baseline-pl100-rr0.75,baseline+pl100 rr=0.75,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,64,0.75,155,11.48,1214,62.6,4278,2.77,45.47,6.6,42.5,50.9,49.1,4119,3418,/results/ph4-t6-baseline-pl100-rr0.75/bench.log,OK_PHASE4
ph4-t6-treatment-default-rr0.75,treatment-default rr=0.75,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,64,0.75,129,13.68,1007,48.2,3372,8.69,56.45,12.3,49.5,38.2,61.8,3074,3958,/results/ph4-t6-treatment-default-rr0.75/bench.log,OK_PHASE4
ph4-t6-baseline-pl100-rr1.0,baseline+pl100 rr=1.0,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,64,1.0,168,11.29,1372,66.7,4639,2.20,45.55,4.3,43.6,52.1,47.9,4492,3739,/results/ph4-t6-baseline-pl100-rr1.0/bench.log,OK_PHASE4
ph4-t6-treatment-default-rr1.0,treatment-default rr=1.0,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,64,1.0,122,13.97,1027,51.8,3569,5.58,58.05,9.3,52.7,38.1,61.9,2974,4088,/results/ph4-t6-treatment-default-rr1.0/bench.log,OK_PHASE4
ph4-t6-baseline-pl100-rr2.0,baseline+pl100 rr=2.0,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,64,2.0,156,11.67,1676,66.3,4927,2.14,48.19,2.8,46.8,50.3,49.7,4174,3863,/results/ph4-t6-baseline-pl100-rr2.0/bench.log,OK_PHASE4
ph4-t6-treatment-default-rr2.0,treatment-default rr=2.0,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,64,2.0,112,14.78,1224,52.7,3809,4.34,62.40,4.9,59.3,35.7,64.3,2719,4481,/results/ph4-t6-treatment-default-rr2.0/bench.log,OK_PHASE4
ph4-t6-baseline-pl100-rr4.0,baseline+pl100 rr=4.0,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,64,4.0,142,12.04,1866,64.4,5021,1.72,49.75,2.4,48.6,49.0,51.0,3817,3760,/results/ph4-t6-baseline-pl100-rr4.0/bench.log,OK_PHASE4
ph4-t6-treatment-default-rr4.0,treatment-default rr=4.0,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,64,4.0,125,15.36,1341,51.2,3842,1.94,66.60,2.6,64.9,32.5,67.5,2848,5636,/results/ph4-t6-treatment-default-rr4.0/bench.log,OK_PHASE4
